Timestamp,ACCESS-CM2_ssp126,ACCESS-CM2_ssp245,ACCESS-CM2_ssp370,ACCESS-CM2_ssp585,CNRM-CM6-1_ssp126,CNRM-CM6-1_ssp245,CNRM-CM6-1_ssp370,CNRM-CM6-1_ssp585,INM-CM4-8_ssp126,INM-CM4-8_ssp245
01-04-2004,8.50167,8.50167,8.50167,8.50167,8.50167,8.50167,8.50167,8.50167,8.50167,8.50167
08-04-2004,11.1801,11.1801,11.1801,11.1801,11.1801,11.1801,11.1801,11.1801,11.1801,11.1801
15-04-2004,6.16491,6.16491,6.16491,6.16491,6.16491,6.16491,6.16491,6.16491,6.16491,6.16491
22-04-2004,6.24818,6.24818,6.24818,6.24818,6.24818,6.24818,6.24818,6.24818,6.24818,6.24818
29-04-2004,6.218356590073988,6.218356590073988,6.218356590073988,6.218356590073988,6.218356590073988,6.218356590073988,6.218356590073988,6.218356590073988,6.218356590073988,6.218356590073988
06-05-2004,6.051706802465083,6.051706802465083,6.051706802465083,6.051706802465083,6.051706802465083,6.051706802465083,6.051706802465083,6.051706802465083,6.051706802465083,6.051706802465083
13-05-2004,5.691140819218628,5.691140819218628,5.691140819218628,5.691140819218628,5.691140819218628,5.691140819218628,5.691140819218628,5.691140819218628,5.691140819218628,5.691140819218628
20-05-2004,5.287234600613913,5.287234600613913,5.287234600613913,5.287234600613913,5.287234600613913,5.287234600613913,5.287234600613913,5.287234600613913,5.287234600613913,5.287234600613913
27-05-2004,5.099347529710095,5.099347529710095,5.099347529710095,5.099347529710095,5.099347529710095,5.099347529710095,5.099347529710095,5.099347529710095,5.099347529710095,5.099347529710095
03-06-2004,7.049871809802022,7.049871809802022,7.049871809802022,7.049871809802022,7.049871809802022,7.049871809802022,7.049871809802022,7.049871809802022,7.049871809802022,7.049871809802022
10-06-2004,7.038149055312882,7.038149055312882,7.038149055312882,7.038149055312882,7.038149055312882,7.038149055312882,7.038149055312882,7.038149055312882,7.038149055312882,7.038149055312882
17-06-2004,6.961306169878744,6.961306169878744,6.961306169878744,6.961306169878744,6.961306169878744,6.961306169878744,6.961306169878744,6.961306169878744,6.961306169878744,6.961306169878744
