Timestamp,ACCESS-CM2_ssp126,ACCESS-CM2_ssp245,ACCESS-CM2_ssp370,ACCESS-CM2_ssp585,CNRM-CM6-1_ssp126,CNRM-CM6-1_ssp245,CNRM-CM6-1_ssp370,CNRM-CM6-1_ssp585,INM-CM4-8_ssp126,INM-CM4-8_ssp245
01-04-2004,0.134232,0.134232,0.134232,0.134232,0.134232,0.134232,0.134232,0.134232,0.134232,0.134232
08-04-2004,0.130358,0.130358,0.130358,0.130358,0.130358,0.130358,0.130358,0.130358,0.130358,0.130358
15-04-2004,0.173369,0.173369,0.173369,0.173369,0.173369,0.173369,0.173369,0.173369,0.173369,0.173369
22-04-2004,0.209943,0.209943,0.209943,0.209943,0.209943,0.209943,0.209943,0.209943,0.209943,0.209943
29-04-2004,0.1951237160001755,0.1951237160001755,0.1951237160001755,0.1951237160001755,0.1951237160001755,0.1951237160001755,0.1951237160001755,0.1951237160001755,0.1951237160001755,0.1951237160001755
06-05-2004,0.1803133648811214,0.1803133648811214,0.1803133648811214,0.1803133648811214,0.1803133648811214,0.1803133648811214,0.1803133648811214,0.1803133648811214,0.1803133648811214,0.1803133648811214
13-05-2004,0.1709832434798929,0.1709832434798929,0.1709832434798929,0.1709832434798929,0.1709832434798929,0.1709832434798929,0.1709832434798929,0.1709832434798929,0.1709832434798929,0.1709832434798929
20-05-2004,0.1840900724244001,0.1840900724244001,0.1840900724244001,0.1840900724244001,0.1840900724244001,0.1840900724244001,0.1840900724244001,0.1840900724244001,0.1840900724244001,0.1840900724244001
27-05-2004,0.194830377771819,0.194830377771819,0.194830377771819,0.194830377771819,0.194830377771819,0.194830377771819,0.194830377771819,0.194830377771819,0.194830377771819,0.194830377771819
03-06-2004,0.2996894953052663,0.2996894953052663,0.2996894953052663,0.2996894953052663,0.2996894953052663,0.2996894953052663,0.2996894953052663,0.2996894953052663,0.2996894953052663,0.2996894953052663
10-06-2004,0.3322270738137107,0.3322270738137107,0.3322270738137107,0.3322270738137107,0.3322270738137107,0.3322270738137107,0.3322270738137107,0.3322270738137107,0.3322270738137107,0.3322270738137107
17-06-2004,0.3493434238801511,0.3493434238801511,0.3493434238801511,0.3493434238801511,0.3493434238801511,0.3493434238801511,0.3493434238801511,0.3493434238801511,0.3493434238801511,0.3493434238801511
24-06-2004,0.3593816067990626,0.3593816067990626,0.3593816067990626,0.3593816067990626,0.3593816067990626,0.3593816067990626,0.3593816067990626,0.3593816067990626,0.3593816067990626,0.3593816067990626
01-07-2004,0.236459,0.236459,0.236459,0.236459,0.236459,0.236459,0.236459,0.236459,0.236459,0.236459
08-07-2004,0.279343,0.279343,0.279343,0.279343,0.279343,0.279343,0.279343,0.279343,0.279343,0.279343
15-07-2004,0.334709,0.334709,0.334709,0.334709,0.334709,0.334709,0.334709,0.334709,0.334709,0.334709
22-07-2004,0.320572,0.320572,0.320572,0.320572,0.320572,0.320572,0.320572,0.320572,0.320572,0.320572
29-07-2004,0.344068,0.344068,0.344068,0.344068,0.344068,0.344068,0.344068,0.344068,0.344068,0.344068
