Timestamp,ACCESS-CM2_ssp126,ACCESS-CM2_ssp245,ACCESS-CM2_ssp370,ACCESS-CM2_ssp585,CNRM-CM6-1_ssp126,CNRM-CM6-1_ssp245,CNRM-CM6-1_ssp370,CNRM-CM6-1_ssp585,INM-CM4-8_ssp126,INM-CM4-8_ssp245
01-04-2004,8.14401,8.14401,8.14401,8.14401,8.14401,8.14401,8.14401,8.14401,8.14401,8.14401
08-04-2004,10.4433,10.4433,10.4433,10.4433,10.4433,10.4433,10.4433,10.4433,10.4433,10.4433
15-04-2004,7.32921,7.32921,7.32921,7.32921,7.32921,7.32921,7.32921,7.32921,7.32921,7.32921
22-04-2004,7.30612,7.30612,7.30612,7.30612,7.30612,7.30612,7.30612,7.30612,7.30612,7.30612
29-04-2004,7.535818926176002,7.535818926176002,7.535818926176002,7.535818926176002,7.535818926176002,7.535818926176002,7.535818926176002,7.535818926176002,7.535818926176002,7.535818926176002
06-05-2004,7.658911636833058,7.658911636833058,7.658911636833058,7.658911636833058,7.658911636833058,7.658911636833058,7.658911636833058,7.658911636833058,7.658911636833058,7.658911636833058
13-05-2004,7.008625037197628,7.008625037197628,7.008625037197628,7.008625037197628,7.008625037197628,7.008625037197628,7.008625037197628,7.008625037197628,7.008625037197628,7.008625037197628
20-05-2004,6.549718890431143,6.549718890431143,6.549718890431143,6.549718890431143,6.549718890431143,6.549718890431143,6.549718890431143,6.549718890431143,6.549718890431143,6.549718890431143
27-05-2004,6.280155771537183,6.280155771537183,6.280155771537183,6.280155771537183,6.280155771537183,6.280155771537183,6.280155771537183,6.280155771537183,6.280155771537183,6.280155771537183
03-06-2004,8.352379385215158,8.352379385215158,8.352379385215158,8.352379385215158,8.352379385215158,8.352379385215158,8.352379385215158,8.352379385215158,8.352379385215158,8.352379385215158
10-06-2004,7.999850047397048,7.999850047397048,7.999850047397048,7.999850047397048,7.999850047397048,7.999850047397048,7.999850047397048,7.999850047397048,7.999850047397048,7.999850047397048
17-06-2004,7.732584561563781,7.732584561563781,7.732584561563781,7.732584561563781,7.732584561563781,7.732584561563781,7.732584561563781,7.732584561563781,7.732584561563781,7.732584561563781
24-06-2004,7.617739901371786,7.617739901371786,7.617739901371786,7.617739901371786,7.617739901371786,7.617739901371786,7.617739901371786,7.617739901371786,7.617739901371786,7.617739901371786
01-07-2004,5.34765,5.34765,5.34765,5.34765,5.34765,5.34765,5.34765,5.34765,5.34765,5.34765
08-07-2004,5.09699,5.09699,5.09699,5.09699,5.09699,5.09699,5.09699,5.09699,5.09699,5.09699
15-07-2004,4.79983,4.79983,4.79983,4.79983,4.79983,4.79983,4.79983,4.79983,4.79983,4.79983
22-07-2004,4.55049,4.55049,4.55049,4.55049,4.55049,4.55049,4.55049,4.55049,4.55049,4.55049
29-07-2004,4.34083,4.34083,4.34083,4.34083,4.34083,4.34083,4.34083,4.34083,4.34083,4.34083
05-08-2004,4.19457,4.19457,4.19457,4.19457,4.19457,4.19457,4.19457,4.19457,4.19457,4.19457
12-08-2004,4.00904,4.00904,4.00904,4.00904,4.00904,4.00904,4.00904,4.00904,4.00904,4.00904
19-08-2004,3.80898,3.80898,3.80898,3.80898,3.80898,3.80898,3.80898,3.80898,3.80898,3.80898
26-08-2004,4.43745,4.43745,4.43745,4.43745,4.43745,4.43745,4.43745,4.43745,4.43745,4.43745
02-09-2004,5.00485,5.00485,5.00485,5.00485,5.00485,5.00485,5.00485,5.00485,5.00485,5.00485
09-09-2004,5.74851,5.74851,5.74851,5.74851,5.74851,5.74851,5.74851,5.74851,5.74851,5.74851
16-09-2004,6.47743,6.47743,6.47743,6.47743,6.47743,6.47743,6.47743,6.47743,6.47743,6.47743
23-09-2004,6.82201,6.82201,6.82201,6.82201,6.82201,6.82201,6.82201,6.82201,6.82201,6.82201
30-09-2004,9.08808,9.08808,9.08808,9.08808,9.08808,9.08808,9.08808,9.08808,9.08808,9.08808
07-10-2004,7.84254,7.84254,7.84254,7.84254,7.84254,7.84254,7.84254,7.84254,7.84254,7.84254
14-10-2004,8.39383,8.39383,8.39383,8.39383,8.39383,8.39383,8.39383,8.39383,8.39383,8.39383
21-10-2004,9.33464,9.33464,9.33464,9.33464,9.33464,9.33464,9.33464,9.33464,9.33464,9.33464
28-10-2004,11.2445,11.2445,11.2445,11.2445,11.2445,11.2445,11.2445,11.2445,11.2445,11.2445
04-11-2004,11.6316,11.6316,11.6316,11.6316,11.6316,11.6316,11.6316,11.6316,11.6316,11.6316
11-11-2004,11.4166,11.4166,11.4166,11.4166,11.4166,11.4166,11.4166,11.4166,11.4166,11.4166
