Timestamp,ACCESS-CM2_ssp126,ACCESS-CM2_ssp245,ACCESS-CM2_ssp370,ACCESS-CM2_ssp585,CNRM-CM6-1_ssp126,CNRM-CM6-1_ssp245,CNRM-CM6-1_ssp370,CNRM-CM6-1_ssp585,INM-CM4-8_ssp126,INM-CM4-8_ssp245
01-04-2004,2.5448,2.5448,2.5448,2.5448,2.5448,2.5448,2.5448,2.5448,2.5448,2.5448
08-04-2004,2.48819,2.48819,2.48819,2.48819,2.48819,2.48819,2.48819,2.48819,2.48819,2.48819
15-04-2004,2.56716,2.56716,2.56716,2.56716,2.56716,2.56716,2.56716,2.56716,2.56716,2.56716
22-04-2004,2.59822,2.59822,2.59822,2.59822,2.59822,2.59822,2.59822,2.59822,2.59822,2.59822
29-04-2004,2.6072369429042888,2.6072369429042888,2.6072369429042888,2.6072369429042888,2.6072369429042888,2.6072369429042888,2.6072369429042888,2.6072369429042888,2.6072369429042888,2.6072369429042888
06-05-2004,2.5513899713728616,2.5513899713728616,2.5513899713728616,2.5513899713728616,2.5513899713728616,2.5513899713728616,2.5513899713728616,2.5513899713728616,2.5513899713728616,2.5513899713728616
13-05-2004,2.508852410721057,2.508852410721057,2.508852410721057,2.508852410721057,2.508852410721057,2.508852410721057,2.508852410721057,2.508852410721057,2.508852410721057,2.508852410721057
20-05-2004,2.472257889504021,2.472257889504021,2.472257889504021,2.472257889504021,2.472257889504021,2.472257889504021,2.472257889504021,2.472257889504021,2.472257889504021,2.472257889504021
27-05-2004,2.441003914032309,2.441003914032309,2.441003914032309,2.441003914032309,2.441003914032309,2.441003914032309,2.441003914032309,2.441003914032309,2.441003914032309,2.441003914032309
03-06-2004,3.319927966461419,3.319927966461419,3.319927966461419,3.319927966461419,3.319927966461419,3.319927966461419,3.319927966461419,3.319927966461419,3.319927966461419,3.319927966461419
10-06-2004,3.2398481727208943,3.2398481727208943,3.2398481727208943,3.2398481727208943,3.2398481727208943,3.2398481727208943,3.2398481727208943,3.2398481727208943,3.2398481727208943,3.2398481727208943
17-06-2004,3.161665239607565,3.161665239607565,3.161665239607565,3.161665239607565,3.161665239607565,3.161665239607565,3.161665239607565,3.161665239607565,3.161665239607565,3.161665239607565
24-06-2004,3.171854597339787,3.171854597339787,3.171854597339787,3.171854597339787,3.171854597339787,3.171854597339787,3.171854597339787,3.171854597339787,3.171854597339787,3.171854597339787
01-07-2004,2.25642,2.25642,2.25642,2.25642,2.25642,2.25642,2.25642,2.25642,2.25642,2.25642
08-07-2004,2.21847,2.21847,2.21847,2.21847,2.21847,2.21847,2.21847,2.21847,2.21847,2.21847
15-07-2004,2.17153,2.17153,2.17153,2.17153,2.17153,2.17153,2.17153,2.17153,2.17153,2.17153
